"국가별","항목","단위","2015 년","2016 년","2017 년","2018 년",
"네팔","국내총생산에 대한 저축률(당해년가격)[%]","%","9.2060835801","4.0673409327","11.9482760331","15.0084752877",
"오만","국내총생산에 대한 저축률(당해년가격)[%]","%","33.6241476512","29.1900846004","34.215766964","40.2106996317",
"파키스탄","국내총생산에 대한 저축률(당해년가격)[%]","%","9.2611812212","8.6713469316","6.7771150748","5.5143473792",
"필리핀","국내총생산에 대한 저축률(당해년가격)[%]","%","15.3157885916","15.1095336265","15.2872558106","14.2477210817",
"카타르","국내총생산에 대한 저축률(당해년가격)[%]","%","57.482424121","54.7490969664","58.3883018992","",
"사우디아라비아","국내총생산에 대한 저축률(당해년가격)[%]","%","29.6948288565","31.3589804611","34.3778827185","38.7130820741",
"싱가포르","국내총생산에 대한 저축률(당해년가격)[%]","%","52.651011078","53.2397642666","53.9511946682","54.5212953848",
"스리랑카","국내총생산에 대한 저축률(당해년가격)[%]","%","23.6487984848","20.564060207","21.6506471036","21.2355902904",
"타지키스탄","국내총생산에 대한 저축률(당해년가격)[%]","%","-10.915186733","-4.7836693337","-.2196164555","",
"태국","국내총생산에 대한 저축률(당해년가격)[%]","%","31.8591659279","33.2448593978","34.8994367058","35.1012664116",
"터키","국내총생산에 대한 저축률(당해년가격)[%]","%","25.7540195249","25.3411582542","26.4566205162","28.0116348484",
"아랍에미리트","국내총생산에 대한 저축률(당해년가격)[%]","%","52.1911026869","51.2878570644","52.768847415","48.32420819",
"우즈베키스탄","국내총생산에 대한 저축률(당해년가격)[%]","%","24.2820420526","22.126348978","26.9299865317","30.5481449912",
"베트남","국내총생산에 대한 저축률(당해년가격)[%]","%","25.7050434763","24.9477150877","25.4579976928","26.0951639731",
"캐나다","국내총생산에 대한 저축률(당해년가격)[%]","%","21.1235923371","20.2466716473","21.0785075096","20.7939049751",
"멕시코","국내총생산에 대한 저축률(당해년가격)[%]","%","22.1062130919","22.4120151382","22.997690273","23.7910502251",
"미국","국내총생산에 대한 저축률(당해년가격)[%]","%","18.1788653966","17.5376822737","17.6169539035","",
"아르헨티나","국내총생산에 대한 저축률(당해년가격)[%]","%","15.9957828961","16.6235303485","16.0193423909","18.8107582443",
"바베이도스","국내총생산에 대한 저축률(당해년가격)[%]","%","4.8045984534","2.9818615383","1.7320498556","",
"벨리즈","국내총생산에 대한 저축률(당해년가격)[%]","%","15.1296727328","10.3467903581","14.1173526593","",
"볼리비아","국내총생산에 대한 저축률(당해년가격)[%]","%","14.0850239158","13.632338387","15.3239223772","15.4639778807",
"브라질","국내총생산에 대한 저축률(당해년가격)[%]","%","16.2583827611","15.3744292711","16.038068611","15.9513558086",
"칠레","국내총생산에 대한 저축률(당해년가격)[%]","%","23.566154243","22.8302875585","22.9726588956","22.8012933479",
"콜롬비아","국내총생산에 대한 저축률(당해년가격)[%]","%","16.7133511952","16.3990451294","16.5446634079","16.2314307294",
"코스타리카","국내총생산에 대한 저축률(당해년가격)[%]","%","17.5644046392","18.640902492","18.89169483","19.2789358375",
"쿠바","국내총생산에 대한 저축률(당해년가격)[%]","%","12.0700538258","12.2556637846","13.1242836935","",
"도미니카공화국","국내총생산에 대한 저축률(당해년가격)[%]","%","17.6722337562","17.9470293007","18.5730211867","19.5010992131",
"에콰도르","국내총생산에 대한 저축률(당해년가격)[%]","%","24.1426639304","25.4672771323","25.5241737203","25.7255706555",
"엘살바도르","국내총생산에 대한 저축률(당해년가격)[%]","%","-1.5709797323",".0251716891",".1228740246",".7273683221",
"과테말라","국내총생산에 대한 저축률(당해년가격)[%]","%","4.6393179416","4.966915908","3.9991980547","2.5152561242",
"가이아나","국내총생산에 대한 저축률(당해년가격)[%]","%","4.8103647079","20.9138820118","22.276374038","",
"아이티","국내총생산에 대한 저축률(당해년가격)[%]","%","1.8624127805","-1.4124751669","-8.6742246485","-12.3894281522",
"온두라스","국내총생산에 대한 저축률(당해년가격)[%]","%","8.1870925871","8.989621148","9.5991555738","6.946302534",
"자메이카","국내총생산에 대한 저축률(당해년가격)[%]","%","5.0537391414","7.9356633524","8.1166793074","",
"니카라과","국내총생산에 대한 저축률(당해년가격)[%]","%","15.4500295708","15.1507118895","14.4111371555","13.6528914472",
"파나마","국내총생산에 대한 저축률(당해년가격)[%]","%","38.1892231156","37.5983477577","38.6598120217","",
"파라과이","국내총생산에 대한 저축률(당해년가격)[%]","%","23.6105504504","25.5686664119","25.2744477293","24.6872996657",
"페루","국내총생산에 대한 저축률(당해년가격)[%]","%","21.7171491505","21.837806292","22.3642977016","23.1079700879",
"세인트루시아","국내총생산에 대한 저축률(당해년가격)[%]","%","25.7016020745","15.5906111294","","",
"세인트빈센트그레나딘","국내총생산에 대한 저축률(당해년가격)[%]","%","-2.3287731521","-1.8657412517","-1.3089178544","",
"우루과이","국내총생산에 대한 저축률(당해년가격)[%]","%","19.3328520928","19.3432493516","18.2846108076","18.5653671888",
"알바니아","국내총생산에 대한 저축률(당해년가격)[%]","%","8.1946047813","7.7696232001","8.7918152804","9.1703147451",
"오스트리아","국내총생산에 대한 저축률(당해년가격)[%]","%","27.5541278558","27.9592532613","28.4516642738","29.1484567145",
"벨라루스","국내총생산에 대한 저축률(당해년가격)[%]","%","32.200891093","29.8370704273","29.8911943655","30.4751320862",
"벨기에","국내총생산에 대한 저축률(당해년가격)[%]","%","25.1277843712","25.409492641","25.8138621436","25.6246702317",
"보스니아-헤르체고비나","국내총생산에 대한 저축률(당해년가격)[%]","%","-3.7832208013","-.8543006628","1.0840720001","2.583722581",
"불가리아","국내총생산에 대한 저축률(당해년가격)[%]","%","21.3365592175","23.4575586954","23.7478288839","21.5683440305",
"크로아티아","국내총생산에 대한 저축률(당해년가격)[%]","%","22.3730417794","23.5500127508","23.1750298915","22.7546941358",
"체코","국내총생산에 대한 저축률(당해년가격)[%]","%","33.9545187403","33.6963584236","33.3962320598","32.3818817107",
"덴마크","국내총생산에 대한 저축률(당해년가격)[%]","%","27.4193215725","28.1802919319","28.7073813615","28.0560134841",
"에스토니아","국내총생산에 대한 저축률(당해년가격)[%]","%","28.7561348512","28.3701655833","29.9954986449","30.446130599",
"핀란드","국내총생산에 대한 저축률(당해년가격)[%]","%","20.4289551898","21.06880545","22.734175406","23.8346428036",
"프랑스","국내총생산에 대한 저축률(당해년가격)[%]","%","22.1458748781","22.0043247279","22.3074486408","22.6818778712",
"독일","국내총생산에 대한 저축률(당해년가격)[%]","%","27.2421823239","27.4922699581","27.6531882563","28.0231246308",
"그리스","국내총생산에 대한 저축률(당해년가격)[%]","%","10.2683920358","10.7615262431","11.4897638857","12.8506644204",
"헝가리","국내총생산에 대한 저축률(당해년가격)[%]","%","30.6682408245","30.0115639017","30.2655591047","31.8435817395",
"아이슬란드","국내총생산에 대한 저축률(당해년가격)[%]","%","26.4944912585","27.8153154146","26.1929520032","25.6876104332",
"아일랜드","국내총생산에 대한 저축률(당해년가격)[%]","%","54.590623878","54.3664239011","55.9748284666","57.2248733693",
"이탈리아","국내총생산에 대한 저축률(당해년가격)[%]","%","20.2011772515","20.7828152518","20.5318570333","20.4554914209",
"라트비아","국내총생산에 대한 저축률(당해년가격)[%]","%","21.7239622301","21.8799647667","22.2994581153","23.5379795678",
"리투아니아","국내총생산에 대한 저축률(당해년가격)[%]","%","20.1317557927","18.9927504269","20.6479631589","20.8582828033",
"룩셈부르크","국내총생산에 대한 저축률(당해년가격)[%]","%","52.3789940297","52.8957585674","52.2842255528","52.3203084342",
"북마케도니아","국내총생산에 대한 저축률(당해년가격)[%]","%","14.1811311843","17.6517959969","19.2067791113","20.4331917832",
"몰타","국내총생산에 대한 저축률(당해년가격)[%]","%","34.4488439073","37.6603769233","40.4409576467","39.750220931",
"몰도바","국내총생산에 대한 저축률(당해년가격)[%]","%","-1.9447671846","-1.0368246249","-.6621182397","-.5925876846",
"네덜란드","국내총생산에 대한 저축률(당해년가격)[%]","%","29.9761741893","30.6992293216","31.4044675516","31.8362549507",
"노르웨이","국내총생산에 대한 저축률(당해년가격)[%]","%","33.1971613628","30.3670123002","31.329765809","33.1168125914",
"폴란드","국내총생산에 대한 저축률(당해년가격)[%]","%","23.5531832635","23.6232424486","24.0005348577","24.0766527137",
"포르투갈","국내총생산에 대한 저축률(당해년가격)[%]","%","16.4054624589","16.8353818492","17.685320489","17.6831242497",
"루마니아","국내총생산에 대한 저축률(당해년가격)[%]","%","24.5067906018","22.4065962704","21.2546919869","20.9502190273",
"러시아","국내총생산에 대한 저축률(당해년가격)[%]","%","29.9103587512","28.628299824","29.2458780172","33.2539438981",
"슬로바키아","국내총생산에 대한 저축률(당해년가격)[%]","%","26.037745443","25.9947123136","25.6489886009","26.1323533853",
"슬로베니아","국내총생산에 대한 저축률(당해년가격)[%]","%","27.9141425926","27.8730803532","29.9016185894","31.3381624556",
"스페인","국내총생산에 대한 저축률(당해년가격)[%]","%","22.7745071289","23.5908515182","24.0184717903","23.8804450742",
"스웨덴","국내총생산에 대한 저축률(당해년가격)[%]","%","29.1752815573","28.9444731122","29.2996053798","29.6905145106",
"스위스","국내총생산에 대한 저축률(당해년가격)[%]","%","34.7695314666","34.4747939214","34.2470284786","35.2366258856",
"우크라이나","국내총생산에 대한 저축률(당해년가격)[%]","%","13.3220587525","14.8001963639","12.2577233282","10.1708317574",
"영국","국내총생산에 대한 저축률(당해년가격)[%]","%","15.788787972","15.6870391018","15.9755741161","15.6559589446",
"알제리","국내총생산에 대한 저축률(당해년가격)[%]","%","37.4289678802","36.6343456123","37.5361408088","",
"앙골라","국내총생산에 대한 저축률(당해년가격)[%]","%","30.8231673298","30.0935222812","29.8816832374","",
"베냉","국내총생산에 대한 저축률(당해년가격)[%]","%","14.3969982463","10.6857552055","10.8408472472","16.9675480331",
"보츠와나","국내총생산에 대한 저축률(당해년가격)[%]","%","25.7177733673","32.9172619965","30.6883964571","30.2301329604",
"부르키나파소","국내총생산에 대한 저축률(당해년가격)[%]","%","14.0878397895","15.1038284338","17.2205872308","19.5143283811",
"부룬디","국내총생산에 대한 저축률(당해년가격)[%]","%","2.1644155807","-1.0483121396","","",
"카메룬","국내총생산에 대한 저축률(당해년가격)[%]","%","17.0461738234","17.8823311935","18.9077251326","16.1984700144",
"카보베르데","국내총생산에 대한 저축률(당해년가격)[%]","%","15.9353898171","19.5241386151","17.0036857482","21.5261009058",
"중앙아프리카공화국","국내총생산에 대한 저축률(당해년가격)[%]","%","13.1684271128","6.8510719597","6.5860024364","",
"차드","국내총생산에 대한 저축률(당해년가격)[%]","%","21.5347632824","20.4126924866","15.5111256267","",
"코모로","국내총생산에 대한 저축률(당해년가격)[%]","%","-3.0930963131",".2138088935",".6206145242","",
"콩고","국내총생산에 대한 저축률(당해년가격)[%]","%","13.7781815659","8.5486808208","51.4240571866","61.0198085511",
"콩고민주공화국","국내총생산에 대한 저축률(당해년가격)[%]","%","15.6843342614","9.3876100393","21.1987710212","22.1099538575",
"코트디부아르","국내총생산에 대한 저축률(당해년가격)[%]","%","23.5749026773","20.738921535","19.9498671244","20.3004563891",
"지부티","국내총생산에 대한 저축률(당해년가격)[%]","%","14.4981102364","11.6193888723","10.345357141","10.1185039903",
"이집트","국내총생산에 대한 저축률(당해년가격)[%]","%","5.8103850403","5.4846091386","1.7838616715","6.2018299004",
"적도기니","국내총생산에 대한 저축률(당해년가격)[%]","%","39.1403413799","26.9235817673","29.9184249721","30.9960045031",
"에티오피아","국내총생산에 대한 저축률(당해년가격)[%]","%","19.7417760346","22.398678143","22.3502281515","24.3041937038",
"가봉","국내총생산에 대한 저축률(당해년가격)[%]","%","47.3451918436","44.9195745616","46.7985510364","",
"감비아","국내총생산에 대한 저축률(당해년가격)[%]","%","-2.0866209077",".2999786968",".3352367165","",
"가나","국내총생산에 대한 저축률(당해년가격)[%]","%","20.5181578203","24.1883915345","20.9815375557","",
"기니","국내총생산에 대한 저축률(당해년가격)[%]","%","-5.2856197968","-.4265973686","7.4555800888","12.6356925749",
"기니비사우","국내총생산에 대한 저축률(당해년가격)[%]","%","3.390088562","3.0271590489","3.701908849","3.7733627122",
"케냐","국내총생산에 대한 저축률(당해년가격)[%]","%","7.062479986","8.2310216561","5.6969607775","5.3225814431",
"레소토","국내총생산에 대한 저축률(당해년가격)[%]","%","-10.3750112008","-10.8469798254","","",
"라이베리아","국내총생산에 대한 저축률(당해년가격)[%]","%","-66.9223103557","-58.759128764","-53.9353514201","-55.6625638658",
"마다가스카르","국내총생산에 대한 저축률(당해년가격)[%]","%","9.5900038952","12.1565426472","11.2379289679","",
"말라위","국내총생산에 대한 저축률(당해년가격)[%]","%","4.608620135","-1.7524680116","6.2123066806","",
"말리","국내총생산에 대한 저축률(당해년가격)[%]","%","5.2086637471","5.895452832","6.4909969147","7.0618656332",
"모리타니","국내총생산에 대한 저축률(당해년가격)[%]","%","19.6119485555","21.4412901798","15.9217218502","15.9513508458",
"모리셔스","국내총생산에 대한 저축률(당해년가격)[%]","%","10.3627044131","10.9965153589","10.003915127","9.0917380051",
"모로코","국내총생산에 대한 저축률(당해년가격)[%]","%","23.202996103","22.3678147991","23.0790644571","22.9420010088",
"모잠비크","국내총생산에 대한 저축률(당해년가격)[%]","%","5.5519026652",".542501794","7.2774835026","1.850954526",
"나미비아","국내총생산에 대한 저축률(당해년가격)[%]","%","3.5374897019","2.7454487594","7.4804781973","6.3806605369",
"니제르","국내총생산에 대한 저축률(당해년가격)[%]","%","16.1356802688","17.5376823827","17.3532432799","",
"나이지리아","국내총생산에 대한 저축률(당해년가격)[%]","%","14.2714627424","13.0804366619","15.4698528528","",
"르완다","국내총생산에 대한 저축률(당해년가격)[%]","%","2.3773310547","7.6981571955","8.8508794089","7.5955550128",
"세네갈","국내총생산에 대한 저축률(당해년가격)[%]","%","13.0777355905","14.375099704","13.8876712934","14.4836308543",
"세이셸","국내총생산에 대한 저축률(당해년가격)[%]","%","25.7902586858","22.5038948186","20.7061726103","13.7172496849",
"시에라리온","국내총생산에 대한 저축률(당해년가격)[%]","%","-13.3344367406","-14.5434639104","-3.4895008666","",
"남아프리카공화국","국내총생산에 대한 저축률(당해년가격)[%]","%","19.8748975899","19.7528526974","19.6390839793","18.3764786814",
"에스와티니","국내총생산에 대한 저축률(당해년가격)[%]","%","6.6868954938","1.6042544759","-2.2273157839","",
"탄자니아","국내총생산에 대한 저축률(당해년가격)[%]","%","26.2108346765","29.4542657848","32.0587768839","",
"토고","국내총생산에 대한 저축률(당해년가격)[%]","%","5.5261295821","10.0925984988","13.2428968789","14.0317802248",
"튀니지","국내총생산에 대한 저축률(당해년가격)[%]","%","9.0892874019","7.7048563322","7.3996405963","",
"우간다","국내총생산에 대한 저축률(당해년가격)[%]","%","13.8456616567","15.4325122142","16.4781523355","15.7491130023",
"잠비아","국내총생산에 대한 저축률(당해년가격)[%]","%","34.5727013307","32.5257984803","","",
"짐바브웨","국내총생산에 대한 저축률(당해년가격)[%]","%","-8.3928191066","-1.470590461","-2.2144745511","9.9706299096",
"오스트레일리아","국내총생산에 대한 저축률(당해년가격)[%]","%","24.734854641","23.14657016","24.6653465661","24.7292949247",
"뉴질랜드","국내총생산에 대한 저축률(당해년가격)[%]","%","24.1338464929","24.2435808595","24.4164024578","",
