"","size","factor","a3_logi","a3_gom","b3_logi","b3_gom","c3_logi","c3_gom"
"17",20,"population","1164965.33095 (0.0006)","1682254.77129 (0.0001)","0.30258229280 (0.5696)","0.27743885759 (0.7033)","-0.0040926594 (0.8942)","-0.0068015215 (0.7900)"
"18",19,"population_density","-267675.09824 (0.6059)","-106799.75406 (0.8799)","0.51908514815 (0.4506)","1.13780694873 (0.2241)","-0.0423636525 (0.2698)","-0.0484049737 (0.1405)"
"19",20,"median_age","431145.111709 (0.0160)","365640.695379 (0.1564)","0.07969587148 (0.7579)","0.32614504895 (0.3615)","-0.0157998099 (0.2813)","-0.0076299645 (0.5477)"
"20",19,"aged_65_older","624756.153595 (0.0043)","419753.641670 (0.1567)","0.16372320468 (0.6173)","0.52078558372 (0.1947)","-0.0011309085 (0.9513)","0.00151100904 (0.9183)"
"21",20,"aged_70_older","566682.451410 (0.0060)","395701.100285 (0.1563)","0.16367466837 (0.5906)","0.56794859650 (0.1336)","-0.0006518866 (0.9704)","-0.0010132442 (0.9415)"
"22",19,"gdp_per_capita","96413.1896569 (0.6057)","-42253.696044 (0.8231)","-0.0866210371 (0.7283)","-0.1473268134 (0.5614)","-0.0193574765 (0.1564)","-0.0083372467 (0.3538)"
"23",13,"extreme_poverty","-367239.83091 (0.2101)","-645251.22332 (0.7397)","0.10567784675 (0.7893)","0.74799238091 (0.7455)","-0.0191515359 (0.2914)","0.01641211274 (0.8514)"
"24",20,"cardiovasc_death_rate","-165767.00261 (0.1940)","-154474.31189 (0.3555)","-0.0579896383 (0.7391)","-0.1343254060 (0.5590)","0.00671221566 (0.5011)","-0.0036640443 (0.6497)"
"25",19,"diabetes_prevalence","49425.0158517 (0.7717)","19816.9562833 (0.9397)","-0.0648408014 (0.7752)","-0.0351829501 (0.9209)","-0.0077649868 (0.5420)","-0.0081993811 (0.5117)"
"26",14,"female_smokers","729410.964251 (0.0123)","129468.394468 (0.6086)","0.19146563242 (0.5895)","0.00500784739 (0.9881)","-0.0035131062 (0.8502)","0.00103860833 (0.9273)"
"27",13,"male_smokers","-116241.43477 (0.6780)","-228613.58470 (0.5358)","0.19495422016 (0.5081)","0.21558408710 (0.6598)","-0.0140695228 (0.3451)","-0.0268986677 (0.0818)"
"28",12,"handwashing_facilities","-738.75919869 (0.9664)","-42874.266079 (0.4419)","-0.1924165573 (0.5771)","-0.2971104610 (0.5429)","0.01573130036 (0.3772)","-0.0017941500 (0.9515)"
"29",17,"hospital_beds_per_thousand","49232.1892733 (0.8520)","-78547.225646 (0.8177)","-0.0254251193 (0.9319)","-0.4348267609 (0.3380)","-0.0025475330 (0.8967)","-0.0036790510 (0.8214)"
"30",20,"life_expectancy","294580.230146 (0.0684)","241027.613827 (0.3205)","0.01448863479 (0.9488)","0.02063660966 (0.9510)","0.00041544541 (0.9745)","-0.0030608680 (0.7946)"
"31",20,"human_development_index","335943.297374 (0.0779)","233317.592944 (0.3673)","0.01946533295 (0.9415)","-0.0370640911 (0.9174)","-0.0107273451 (0.4799)","-0.0065122186 (0.6016)"
