"","size","factor","a1_logi","a1_gom","b1_logi","b1_gom","c1_logi","c1_gom"
"18",96,"population_density","-194957.47906 (0.7896)","-6910.8906761 (0.9816)","0.11526102503 (0.8166)","-109.44739365 (0.6935)","0.01043576563 (0.1416)","0.00043588455 (0.9356)"
"19",96,"median_age","491963.159304 (0.3484)","151827.160181 (0.3946)","1.55895985947 (3.2624)","299.107178192 (0.0668)","0.00021242964 (0.9666)","0.00412322260 (0.1836)"
"20",95,"aged_65_older","557970.680629 (0.2831)","90372.0138785 (0.6087)","1.65424647813 (4.8995)","338.589897383 (0.0352)","0.00343876766 (0.4937)","0.00604207285 (0.0469)"
"21",95,"aged_70_older","480718.186723 (0.3442)","72503.7856285 (0.6746)","1.49587876303 (1.9360)","308.952294995 (0.0471)","0.00347392181 (0.4790)","0.00606264665 (0.0415)"
"22",95,"gdp_per_capita","593629.943740 (0.1970)","-115938.71409 (0.4448)","0.06094115242 (0.8449)","-48.302594898 (0.7305)","0.00751974764 (0.0892)","0.00749364503 (0.0036)"
"23",63,"extreme_poverty","-471169.67858 (0.6385)","-17754.621379 (0.9579)","-1.0122504750 (0.0711)","-305.64913235 (0.3159)","0.01138013866 (0.1744)","-0.0033560176 (0.4906)"
"24",96,"cardiovasc_death_rate","-380933.46855 (0.4090)","21912.9005455 (0.8852)","0.21518796861 (0.4927)","166.895485178 (0.2315)","-0.0052951700 (0.2266)","-0.0041832257 (0.1218)"
"25",96,"diabetes_prevalence","489324.683687 (0.3939)","138334.575227 (0.4657)","-0.1393766559 (0.7215)","-24.267007678 (0.8898)","-0.0115741048 (0.0371)","-0.0036623455 (0.2802)"
"26",79,"female_smokers","342234.940726 (0.5570)","31389.4440659 (0.8732)","1.12497606190 (0.0009)","255.147148889 (0.0767)","0.00184853530 (0.7336)","0.00685719359 (0.0452)"
"27",78,"male_smokers","-464493.23582 (0.4805)","-77487.646337 (0.7466)","1.26475995854 (0.0009)","452.617082108 (0.0089)","-0.0121705063 (0.0446)","-0.0040393295 (0.3387)"
"28",46,"handwashing_facilities","104912.918834 (0.6678)","162553.704433 (0.6109)","0.92063720584 (0.0168)","183.240729603 (0.0464)","-0.0133802305 (0.0583)","-0.0055038939 (0.0197)"
"29",87,"hospital_beds_per_thousand","-90838.742805 (0.8776)","126.958667138 (0.9994)","1.20607685816 (0.0013)","205.895026343 (0.2345)","-0.0004239321 (0.9381)","0.00208250981 (0.5148)"
"30",97,"life_expectancy","394593.536250 (0.4475)","87973.9428399 (0.6272)","0.81826212976 (0.0189)","140.349587800 (0.4003)","0.00163761969 (0.7472)","0.00559514573 (0.0824)"
"31",97,"human_development_index","689749.747414 (0.1861)","74616.1737449 (0.6730)","1.04417324145 (0.0027)","219.280062789 (0.1766)","0.00341833238 (0.5038)","0.00623066896 (0.0468)"
